driverId,name,ssn,location,certified,wage-plan
10,Stacy Hutchinson,444-06-0037,"99863 Carroll Path
Josephside, ID 47949",N,miles
11,Anthony Rivera,557-99-0260,"8577 Matthew Fords
North Beverlymouth, OK 86304",Y,miles
12,Zachary Proctor,043-82-9841,"4110 Perez Circles Apt. 962
Williamsonfurt, HI 16500",Y,hours
13,William Chase,832-55-6714,"8139 Cassie Avenue Suite 798
North Ricardostad, NY 12512",Y,hours
14,Antonio Hebert,667-35-9428,"54971 Moore Mills Apt. 827
Lake Emily, OH 42304",Y,hours
15,Michael Mckenzie,302-43-0266,"155 Michael Streets Suite 353
Lake Richard, CT 52780",Y,hours
16,Jennifer Thompson,802-38-8008,"9040 Lee Plains
Jasonville, OK 11048",N,hours
17,Carlos Rodriguez,029-92-9499,"9131 Ryan Extension Suite 305
Knightfort, PA 29830",Y,miles
18,Rebecca Stanley,129-91-4029,"6441 Laura Ports Apt. 805
North Holly, TX 81772",Y,hours
19,Gordon Steele,034-97-3363,"024 Bowman Mountain Suite 469
Johnstonstad, NE 98656",Y,miles
20,Leslie Davis,217-21-4656,"PSC 9937, Box 5419
APO AP 13692",Y,miles
21,Ashley Arias,563-01-4956,"9238 Smith Plain
West Robert, NH 08869",N,miles
22,Kristina Young,759-95-3971,"USS Vaughn
FPO AP 52084",Y,hours
23,Sandra Butler,458-30-4014,"78097 Matthew Road Suite 307
West Juan, KY 39005",N,miles
24,Larry Willis,606-54-9438,"USNS Rivera
FPO AE 05327",N,miles
25,Diana Moore,076-59-5108,"18185 Brianna Plains
South Alexisfort, MI 17273",Y,hours
26,Jennifer Pearson,268-59-9364,"Unit 1517 Box 4349
DPO AA 98627",N,miles
27,Nicholas Gillespie,331-80-5117,"90957 Luis Crossroad Suite 416
Lake Erichaven, CO 18317",N,miles
28,Michael Orr,676-68-2466,"7279 Roy Lakes
Lake Kaylaberg, MD 49798",N,hours
29,Alicia Taylor,290-54-6172,"1997 Mora Gateway
South Catherine, IL 40938",N,hours
30,Thomas Smith,880-30-3911,"58875 Morgan Motorway
Lake Garrettport, NC 38653",Y,hours
31,Stephen Riley,369-36-1943,"386 Natalie Plains
West Maria, SD 05057",N,hours
